,Agency Name,Agency Logo,Agency Type
73,BLUE LIFE REAL ESTATE,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/blue-life-real-estate.svg,Estate Agency
74,Nermin Olgunsoy,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/374-logo-20211011160334.svg,Estate Agency
75,Tüm Evler,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/5989-logo-20210819150626.jpeg,Estate Agency
76,Pastırmacı İnşaat,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/18204-logo-20211007152551.svg,Estate Agency
77,SERTAN MUHTAROĞLU,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/2414-logo-20211011164332.svg,Estate Agency
78,PRIME BROKERS,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/18509-logo-20211208104901.svg,Estate Agency
79,BELİZ ESTATE,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/beliz-real-estate.svg,Estate Agency
80,Eser Emlak ,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/eser-emlak.svg,Estate Agency
81,Luxury Life Real Estate LTD,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/16589-logo-20210602170952.jpeg,Estate Agency
82,Magna Global Properties,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/Magna.jpg,Estate Agency
83,Priva Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/priva-real-estate.svg,Estate Agency
84,Turan Construction,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/turan-construction.svg,Estate Agency
85,Busy Bees Emlak Acentesi,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/busy-bees-estate-agents.svg,Estate Agency
86,NCyprus Investments By Ammar Huneidi Inv,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/10703-logo-20220122000558.jpeg,Estate Agency
87,Blanco Investment,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/14204-logo-20201204133839.jpeg,Estate Agency
88,BORAY Estate Agency Ltd.,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/boray-estates.svg,Estate Agency
89,TRIOTIME REAL ESTATE,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/triotime-real-estate.svg,Estate Agency
90,N1 real Estates,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/9043-logo-20181012102119.jpeg,Estate Agency
91,TT Home Cyprus,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/15925-logo-20210402132655.png,Estate Agency
92,HOMECITY ESTATE,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/11314-logo-20210609114755.jpeg,Estate Agency
93,BASPINAR ESTATES SERVICES,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/16383-logo-20211014151003.svg,Estate Agency
94,Explore Estates,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/9825-logo-20210817170025.svg,Estate Agency
95,Leverage Investments Ltd.,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/leverage.jpg,Estate Agency
96,CYPRUS REALTY ESTATE LTD,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/2478.jpeg,Estate Agency
97,Central Homes Real Estate,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/6859.png,Estate Agency
98,ESTATE POINT,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/9440-logo-20190409121123.jpeg,Estate Agency
99,EXEN INVEST,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/27994-logo-20220315160453.svg,Estate Agency
100,Delmundo Investment&Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/9470-logo-20211013105849.svg,Estate Agency
101,Henry Charles Estates,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/henry-charles-estates.svg,Estate Agency
102,IQ GLOBAL  REAL ESTATE,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/iq-global.svg,Estate Agency
103,PRO & PER ESTATE AGENT,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/pro-per-estates.svg,Estate Agency
